source_id,source_origin_time,source_origin_uncertainty_sec,source_latitude_deg,source_latitude_uncertainty_km,source_longitude_deg,source_longitude_uncertainty_km,source_depth_km,source_depth_uncertainty_km,source_magnitude,source_magnitude_uncertainty,source_magnitude_type,source_magnitude_author,sensor_name,sensor_orientation_azi_dip,sensor_sensitivity,source_sensor_distance,trace_start_time,trace_end_time,trace_num_samples,trace_sample_min_1,trace_sample_max_1,trace_sample_mean_1,trace_sample_median_1,trace_sample_rms_1,trace_sample_lower_quartile_1,trace_sample_upper_quartile_1,trace_sample_stdev_1,trace_name_original_1,trace_sample_min_2,trace_sample_max_2,trace_sample_mean_2,trace_sample_median_2,trace_sample_rms_2,trace_sample_lower_quartile_2,trace_sample_upper_quartile_2,trace_sample_stdev_2,trace_name_original_2,trace_name_original_Z,trace_sample_min_Z,trace_sample_max_Z,trace_sample_mean_Z,trace_sample_median_Z,trace_sample_rms_Z,trace_sample_lower_quartile_Z,trace_sample_upper_quartile_Z,trace_sample_stdev_Z,trace_p_pick_time,trace_p_pick_uncertainty,trace_s_pick_time,trace_s_pick_uncertainty,trace_sampling_rate_hz,trace_component_order,trace_p_pick_weight,trace_s_pick_weight,trace_name
34181001,2023-02-23T04:55:52.360000Z,0.08,43.2893,0.0045,13.333,0.0074,8.7,0.4,1.3,0.2,ML,INGV,S5,"{'Z': (0.0, 90.0), '1': (0.0, 0.0), '2': (90.0, 0.0)}",3.90E-06,6.710941633,2023-02-23T04:55:32.360655Z,2023-02-23T04:57:12.364655Z,3x25001,-304.2796342,356.7781441,1.047178768,1.209214763,55.70464038,-34.84849092,37.26692044,55.69479667,34181001_2023-02-23T04:55:32.360655Z_WS.POZA.S5.DN1.MSEED,-149.7189829,140.7457225,0.123882922,0.521497216,31.8655896,-21.5138337,21.55505936,31.8653488,34181001_2023-02-23T04:55:32.360655Z_WS.POZA.S5.DN2.MSEED,34181001_2023-02-23T04:55:32.360655Z_WS.POZA.S5.DNZ.MSEED,-133.6012972,129.8206663,-0.936339403,-0.392557719,31.66013459,-22.43099304,20.63718362,31.64628557,2023-02-23T04:55:54.323000Z,0.5,2023-02-23T04:55:55.914000Z,1.5,250,12Z,3,3,"bucket0$261,:3,:25001"
34181001,2023-02-23T04:55:52.360000Z,0.08,43.2893,0.0045,13.333,0.0074,8.7,0.4,1.3,0.2,ML,INGV,S6,"{'Z': (0.0, 90.0), '1': (90.0, 0.0), '2': (180.0, 0.0)}",3.90E-06,6.710941633,2023-02-23T04:55:32.358953Z,2023-02-23T04:57:12.362953Z,3x25001,-234.2166007,199.4797855,0.529528423,1.160613205,50.15522891,-33.89532371,34.21444538,50.15243351,34181001_2023-02-23T04:55:32.358953Z_WS.POZA.S6.DN1.MSEED,-163.660896,147.8375096,0.170779331,-0.399671822,32.2907008,-21.43332352,21.63558447,32.29024919,34181001_2023-02-23T04:55:32.358953Z_WS.POZA.S6.DN2.MSEED,34181001_2023-02-23T04:55:32.358953Z_WS.POZA.S6.DNZ.MSEED,-149.4898,140.9682189,-0.036088485,-0.248939467,31.80965745,-21.2786808,20.78080187,31.80963698,2023-02-23T04:55:54.316000Z,0.5,2023-02-23T04:55:55.874000Z,1.5,250,12Z,3,3,"bucket0$263,:3,:25001"
34163561,2023-02-21T05:34:19.900000Z,0.09,43.2918,0.0045,13.3432,0.0074,8.6,0.6,1.4,0.2,ML,INGV,S2,"{'Z': (0.0, 90.0), '1': (0.0, 0.0), '2': (90.0, 0.0)}",3.90E-06,6.314890713,2023-02-21T05:33:59.899097Z,2023-02-21T05:35:39.903097Z,3x25001,-1119.460844,938.8327311,1.618656902,2.33295817,97.28884772,-40.73521849,44.40008246,97.27538147,34163561_2023-02-21T05:33:59.899097Z_WS.POZA.S2.DN1.MSEED,-195.7304351,188.8850125,-2.078136447,-2.421061942,34.48128367,-24.45639286,20.61579894,34.41860358,34163561_2023-02-21T05:33:59.899097Z_WS.POZA.S2.DN2.MSEED,34163561_2023-02-21T05:33:59.899097Z_WS.POZA.S2.DNZ.MSEED,-338.6968536,313.3473938,-0.312967966,-0.142471267,36.06325137,-23.18960058,21.89596406,36.06189332,2023-02-21T05:34:21.731000Z,0.5,2023-02-21T05:34:23.366000Z,1.5,250,12Z,3,3,"bucket0$16,:3,:25001"
34162431,2023-02-21T01:31:35.100000Z,0.15,43.2913,0.0063,13.3363,0.0099,8.8,0.6,1.4,0.2,ML,INGV,S2,"{'Z': (0.0, 90.0), '1': (0.0, 0.0), '2': (90.0, 0.0)}",3.90E-06,6.66405638,2023-02-21T01:31:15.100647Z,2023-02-21T01:32:55.104647Z,3x25001,-289.0960254,297.8435204,0.638006226,0.368582842,53.7621759,-33.6863017,35.42451975,53.7583901,34162431_2023-02-21T01:31:15.100647Z_WS.POZA.S2.DN1.MSEED,-137.7123293,133.7218738,0.50194137,0.508597185,31.78431071,-20.52496496,21.54239813,31.7803471,34162431_2023-02-21T01:31:15.100647Z_WS.POZA.S2.DN2.MSEED,34162431_2023-02-21T01:31:15.100647Z_WS.POZA.S2.DNZ.MSEED,-210.6023074,156.9596687,-0.559643258,-0.274327542,31.94471558,-22.31276287,20.75541379,31.93981298,2023-02-21T01:31:36.941000Z,0.5,2023-02-21T01:31:38.498000Z,1.5,250,12Z,3,3,"bucket0$23,:3,:25001"
34163561,2023-02-21T05:34:19.900000Z,0.09,43.2918,0.0045,13.3432,0.0074,8.6,0.6,1.4,0.2,ML,INGV,S3,"{'Z': (0.0, 90.0), '1': (90.0, 0.0), '2': (180.0, 0.0)}",3.90E-06,6.314890713,2023-02-21T05:33:59.901431Z,2023-02-21T05:35:39.905431Z,3x25001,-434.1704803,458.257198,-2.946700375,-2.480019717,59.66603873,-37.53595663,31.57486483,59.59323061,34163561_2023-02-21T05:33:59.901431Z_WS.POZA.S3.DN1.MSEED,-161.6128577,142.8747,0.255143062,0.646937223,33.99882717,-22.38968486,22.68202934,33.9978698,34163561_2023-02-21T05:33:59.901431Z_WS.POZA.S3.DN2.MSEED,34163561_2023-02-21T05:33:59.901431Z_WS.POZA.S3.DNZ.MSEED,-330.0847792,288.9170984,-1.162392421,-1.556203814,35.18462696,-23.59463914,21.4909255,35.16542077,2023-02-21T05:34:21.743000Z,0.5,2023-02-21T05:34:23.386000Z,1.5,250,12Z,3,3,"bucket0$56,:3,:25001"
34162431,2023-02-21T01:31:35.100000Z,0.15,43.2913,0.0063,13.3363,0.0099,8.8,0.6,1.4,0.2,ML,INGV,S3,"{'Z': (0.0, 90.0), '1': (90.0, 0.0), '2': (180.0, 0.0)}",3.90E-06,6.66405638,2023-02-21T01:31:15.099238Z,2023-02-21T01:32:55.103238Z,3x25001,-263.1532795,249.6673174,-0.919167539,-0.73332364,47.95996107,-32.78514825,31.31754576,47.95115219,34162431_2023-02-21T01:31:15.099238Z_WS.POZA.S3.DN1.MSEED,-215.1683341,210.5129467,-0.068934026,0.176369986,33.49797964,-21.85919973,22.2114621,33.49790871,34162431_2023-02-21T01:31:15.099238Z_WS.POZA.S3.DN2.MSEED,34162431_2023-02-21T01:31:15.099238Z_WS.POZA.S3.DNZ.MSEED,-222.1477922,221.5705801,-0.559676211,-0.78531142,33.53359064,-21.830336,20.24442992,33.52891981,2023-02-21T01:31:36.929000Z,0.5,2023-02-21T01:31:38.534000Z,1.5,250,12Z,3,3,"bucket0$60,:3,:25001"
34162431,2023-02-21T01:31:35.100000Z,0.15,43.2913,0.0063,13.3363,0.0099,8.8,0.6,1.4,0.2,ML,INGV,S4,"{'Z': (0.0, 90.0), '1': (0.0, 0.0), '2': (90.0, 0.0)}",3.90E-06,6.66405638,2023-02-21T01:31:15.101079Z,2023-02-21T01:32:55.105079Z,3x25001,-245.4391899,252.358935,-0.434089315,-0.045721137,50.6214555,-34.10060568,33.00620063,50.61959427,34162431_2023-02-21T01:31:15.101079Z_WS.POZA.S4.DN1.MSEED,-152.0189302,209.5596566,0.626024308,0.22317706,31.75076381,-20.81038509,22.25970198,31.7445916,34162431_2023-02-21T01:31:15.101079Z_WS.POZA.S4.DN2.MSEED,34162431_2023-02-21T01:31:15.101079Z_WS.POZA.S4.DNZ.MSEED,-216.8385864,201.8305518,-1.915294227,-1.49770306,33.36074011,-23.53613839,19.53203828,33.30571465,2023-02-21T01:31:36.906000Z,0.5,2023-02-21T01:31:38.475000Z,1.5,250,12Z,3,3,"bucket0$76,:3,:25001"
34163561,2023-02-21T05:34:19.900000Z,0.09,43.2918,0.0045,13.3432,0.0074,8.6,0.6,1.4,0.2,ML,INGV,S4,"{'Z': (0.0, 90.0), '1': (0.0, 0.0), '2': (90.0, 0.0)}",3.90E-06,6.314890713,2023-02-21T05:33:59.897899Z,2023-02-21T05:35:39.901899Z,3x25001,-500.2215018,582.5121538,2.412890665,2.403915233,59.14453239,-33.65307405,38.46281492,59.09529313,34163561_2023-02-21T05:33:59.897899Z_WS.POZA.S4.DN1.MSEED,-133.2890499,161.1808202,1.207474342,0.924562757,31.52376242,-20.10899939,21.9581249,31.50062861,34163561_2023-02-21T05:33:59.897899Z_WS.POZA.S4.DN2.MSEED,34163561_2023-02-21T05:33:59.897899Z_WS.POZA.S4.DNZ.MSEED,-201.9841727,188.6554992,1.3527053,1.344082207,33.31220679,-20.69435312,23.38251753,33.28473087,2023-02-21T05:34:21.731000Z,0.5,2023-02-21T05:34:23.411000Z,1.5,250,12Z,3,3,"bucket0$81,:3,:25001"
34163561,2023-02-21T05:34:19.900000Z,0.09,43.2918,0.0045,13.3432,0.0074,8.6,0.6,1.4,0.2,ML,INGV,S5,"{'Z': (0.0, 90.0), '1': (0.0, 0.0), '2': (90.0, 0.0)}",3.90E-06,6.314890713,2023-02-21T05:33:59.899190Z,2023-02-21T05:35:39.903190Z,3x25001,-682.0254155,744.2566606,1.438648418,1.067454857,70.57109828,-35.99178079,39.12845928,70.55643275,34163561_2023-02-21T05:33:59.899190Z_WS.POZA.S5.DN1.MSEED,-180.3369584,169.2223136,0.527255383,-0.048429958,32.58172149,-21.08223091,21.98666216,32.57745504,34163561_2023-02-21T05:33:59.899190Z_WS.POZA.S5.DN2.MSEED,34163561_2023-02-21T05:33:59.899190Z_WS.POZA.S5.DNZ.MSEED,-169.6628177,153.8528542,0.088784201,-0.385626565,32.23347834,-21.4153679,21.65280876,32.23335607,2023-02-21T05:34:21.565000Z,0.5,2023-02-21T05:34:23.214000Z,1.5,250,12Z,3,3,"bucket0$111,:3,:25001"
34162431,2023-02-21T01:31:35.100000Z,0.15,43.2913,0.0063,13.3363,0.0099,8.8,0.6,1.4,0.2,ML,INGV,S5,"{'Z': (0.0, 90.0), '1': (0.0, 0.0), '2': (90.0, 0.0)}",3.90E-06,6.66405638,2023-02-21T01:31:15.097675Z,2023-02-21T01:32:55.101675Z,3x25001,-188.4190034,211.2204684,-0.261442543,-0.11775763,51.27844511,-35.17381394,34.93841808,51.27777862,34162431_2023-02-21T01:31:15.097675Z_WS.POZA.S5.DN1.MSEED,-142.6646962,146.7984793,-1.38409538,-1.43870214,31.47235621,-22.47226429,19.59509881,31.44190652,34162431_2023-02-21T01:31:15.097675Z_WS.POZA.S5.DN2.MSEED,34162431_2023-02-21T01:31:15.097675Z_WS.POZA.S5.DNZ.MSEED,-158.0153948,147.4660513,0.304175626,0.227295434,31.3011382,-20.8024459,21.25703677,31.29966022,2023-02-21T01:31:36.847000Z,0.5,2023-02-21T01:31:38.487000Z,1.5,250,12Z,3,3,"bucket0$122,:3,:25001"
