file_name,sensor_distance_km,snr_2_5,snr_5_5
34161341_2023-02-21T00.07.00.489723Z_WS.POZA.S5.DN1.MSEED,5.657008914090252,61.768398651076524,64.56416438702497
34161341_2023-02-21T00.07.00.490024Z_WS.POZA.S3.DN1.MSEED,5.657008914090252,72.69358369207366,74.27016685328081
34161341_2023-02-21T00.07.00.490032Z_WS.POZA.S2.DN1.MSEED,5.657008914090252,76.74418987560112,81.98936367694866
34161341_2023-02-21T00.07.00.490708Z_WS.POZA.S4.DN1.MSEED,5.657008914090252,91.45117457495509,89.25704657741703
34161341_2023-02-21T00.07.00.493150Z_WS.POZA.S6.DN1.MSEED,5.657008914090252,51.77549063102672,52.03288793920705
34161511_2023-02-21T00.12.34.318024Z_WS.POZA.S3.DN1.MSEED,6.237050351316972,1.153883467037206,1.1155349315626686
34161791_2023-02-21T00.40.23.069600Z_WS.POZA.S5.DN1.MSEED,7.329968015806092,1.1437890543665352,1.1342924530549015
34161791_2023-02-21T00.40.23.070024Z_WS.POZA.S3.DN1.MSEED,7.329968015806092,1.183337726695441,1.1684216988058773
34161791_2023-02-21T00.40.23.070032Z_WS.POZA.S2.DN1.MSEED,7.329968015806092,1.1245260810869306,1.1465730832412746
34161791_2023-02-21T00.40.23.070708Z_WS.POZA.S4.DN1.MSEED,7.329968015806092,1.0917240611230716,1.111441723531484
34161791_2023-02-21T00.40.23.072380Z_WS.POZA.S6.DN1.MSEED,7.329968015806092,1.1428788976744713,1.1525298090694747
34162221_2023-02-21T01.06.56.699238Z_WS.POZA.S3.DN1.MSEED,6.876466671623922,1.0631725265213774,1.0511925416160215
34162431_2023-02-21T01.31.15.097675Z_WS.POZA.S5.DN1.MSEED,6.664056379751631,1.1924859970444803,1.1724171508209946
34162431_2023-02-21T01.31.15.097936Z_WS.POZA.S6.DN1.MSEED,6.664056379751631,1.2167785685333556,1.1917399433817266
34162431_2023-02-21T01.31.15.099238Z_WS.POZA.S3.DN1.MSEED,6.664056379751631,1.336025748927997,1.3248569031376598
34162431_2023-02-21T01.31.15.100647Z_WS.POZA.S2.DN1.MSEED,6.664056379751631,1.378933528011813,1.3660156560257446
34162431_2023-02-21T01.31.15.101079Z_WS.POZA.S4.DN1.MSEED,6.664056379751631,1.400222539869759,1.4507090734056916
34162741_2023-02-21T02.39.54.850647Z_WS.POZA.S4.DN1.MSEED,6.5839574460939225,1.0775947512930224,1.0858999349952194
34162741_2023-02-21T02.39.54.852047Z_WS.POZA.S3.DN1.MSEED,6.5839574460939225,1.113191004002309,1.1421444691509743
34163051_2023-02-21T03.41.55.050319Z_WS.POZA.S3.DN1.MSEED,7.1454570285812125,7.815440915679777,7.941891815141244
34163051_2023-02-21T03.41.55.052143Z_WS.POZA.S5.DN1.MSEED,7.1454570285812125,6.519359308933239,6.4869368073520235
34163051_2023-02-21T03.41.55.052276Z_WS.POZA.S4.DN1.MSEED,7.1454570285812125,10.849026559721388,10.817165849684928
34163051_2023-02-21T03.41.55.052397Z_WS.POZA.S2.DN1.MSEED,7.1454570285812125,8.259401009549608,8.527409428699722
34163051_2023-02-21T03.41.55.053482Z_WS.POZA.S6.DN1.MSEED,7.1454570285812125,6.949824174203723,6.960216586441607
34163411_2023-02-21T04.49.09.159092Z_WS.POZA.S4.DN1.MSEED,7.286109761978716,2.214895665825875,2.311370425691598
34163411_2023-02-21T04.49.09.159201Z_WS.POZA.S5.DN1.MSEED,7.286109761978716,1.927049357280463,1.9470872519311866
34163411_2023-02-21T04.49.09.160249Z_WS.POZA.S6.DN1.MSEED,7.286109761978716,2.41467310348662,2.4764193406159665
34163411_2023-02-21T04.49.09.161007Z_WS.POZA.S3.DN1.MSEED,7.286109761978716,3.2762194773475617,3.2828363295854386
34163411_2023-02-21T04.49.09.161225Z_WS.POZA.S2.DN1.MSEED,7.286109761978716,1.9845343099498656,1.9825427689919495
34163481_2023-02-21T05.15.35.189899Z_WS.POZA.S4.DN1.MSEED,7.323020847908365,3.8675211778694005,3.791976943742585
34163481_2023-02-21T05.15.35.190426Z_WS.POZA.S6.DN1.MSEED,7.323020847908365,3.5491607203008284,3.5541919705728424
