File,Trace ID,S1 Mean,S1 Median,S1 Mode,S1 Std Dev,S1 Skewness,S1 Kurtosis,S1 Variance,S1 Max,S1 Min,S1 Z-Score,S2 Mean,S2 Median,S2 Mode,S2 Std Dev,S2 Skewness,S2 Kurtosis,S2 Variance,S2 Max,S2 Min,S2 Z-Score,S3 Mean,S3 Median,S3 Mode,S3 Std Dev,S3 Skewness,S3 Kurtosis,S3 Variance,S3 Max,S3 Min,S3 Z-Score,S4 Mean,S4 Median,S4 Mode,S4 Std Dev,S4 Skewness,S4 Kurtosis,S4 Variance,S4 Max,S4 Min,S4 Z-Score,S5 Mean,S5 Median,S5 Mode,S5 Std Dev,S5 Skewness,S5 Kurtosis,S5 Variance,S5 Max,S5 Min,S5 Z-Score,S6 Mean,S6 Median,S6 Mode,S6 Std Dev,S6 Skewness,S6 Kurtosis,S6 Variance,S6 Max,S6 Min,S6 Z-Score
noise_2023-02-21T01_07_00.489562Z_WS.POZA.S5.DN1.MSEED,WS.POZA.S5.DN1,-5.266434145244371e-05,-0.0001387940523937272,9.149789771074596e-05,0.0016580445554885224,0.16717289334109692,-0.4561883037679286,2.7491117479851315e-06,0.005004359279914427,-0.004245638184689712,3.019806626980426e-17,7.952257904157702e-05,0.0002450228141417547,-0.0014053906270523962,0.0018734018703686428,-0.15081506420056195,-0.34597086723138215,3.5096345679007293e-06,0.0049275945339699425,-0.0046294550512251936,-1.9539925233402754e-17,-7.70749587305439e-05,5.311438087401808e-05,9.149789771074596e-05,0.0018850695238556373,0.014114454849500517,-0.31024856238579845,3.5534871097693195e-06,0.00523464894228992,-0.0046294550512251936,1.9539925233402754e-17,0.000246559737923679,0.0001682626436552347,-0.0002155565106092228,0.0017951516207777645,-0.13999161633649768,-0.22378321483372643,3.222569341581035e-06,0.005388176146449904,-0.004974888400923939,0.0,0.00018591653574733492,0.0002066438727629869,0.0005520772224617322,0.0017830648594656493,-0.1618615908907174,-0.2018440694524144,3.1793202930612557e-06,0.00488921330486219,-0.0048981259427084345,-1.4210854715202004e-17,5.1119975352380956e-05,0.00012988141454748256,-6.203159417822285e-05,0.001898706914756975,-0.13494039927316662,0.7914518991125861,3.6050879481459505e-06,0.005695230554769882,-0.005896051625883862,2.4868995751603507e-17
noise_2023-02-21T01_07_00.489562Z_WS.POZA.S5.DN2.MSEED,WS.POZA.S5.DN2,2.9681718872998403e-05,-2.5279743663508272e-05,-0.00029395063514674923,0.0012498385310813704,0.1459916359193986,0.12938270617574066,1.5620963537756379e-06,0.003505839088829258,-0.0034412526011040425,-1.4210854715202004e-17,-1.6378765302184905e-06,-2.5279743663508272e-05,-0.0002555716937679727,0.0011615226318506858,-0.022076370823677763,-0.031781637502374505,1.3491348243013439e-06,0.0036593640052602666,-0.0035180196347774978,0.0,0.0001360756847296714,0.0002050122064409736,0.0011261708559429286,0.0011574964426684983,-0.07202917045200369,-0.07727898039677639,1.3397980147902282e-06,0.0031987801050513205,-0.003402873659725266,1.2434497875801754e-17,3.628318961945651e-05,-2.5279743663508272e-05,-0.0014837893270478826,0.0012233254896820082,0.2188301603197069,-0.16199994769101256,1.496525253705725e-06,0.003928034896743507,-0.0031725817096208016,-1.4210854715202004e-17,0.00012717111146385017,0.0001666241141462769,-6.365868504228475e-05,0.0011844498916332555,0.08609759047907621,0.501457419914789,1.4029215457900304e-06,0.0039664229890382045,-0.003402873659725266,7.105427357601002e-18,9.876903993323093e-06,-2.5279743663508272e-05,-0.0007545345353556955,0.0012470017389932682,-0.11947991440015569,-0.16167747082601336,1.555013337052235e-06,0.003237168197346017,-0.00332610662605181,-2.842170943040401e-17
noise_2023-02-21T01_07_00.489562Z_WS.POZA.S5.DNZ.MSEED,WS.POZA.S5.DNZ,-6.090186031152633e-06,5.969696252290078e-06,-0.001106781679918546,0.0012556433994100385,-0.08278196029742652,0.1601023283915355,1.5766403464819974e-06,0.003805722816564843,-0.003832436892916193,-3.1974423109204506e-17,0.00022635069196122158,0.0002742013437715696,-0.0004543579783110818,0.0011868702177122762,-0.12947431650319285,-0.16372598632788282,1.408660913692386e-06,0.003421530762476658,-0.0032561488117839156,2.842170943040401e-17,0.00011858013552051014,2.5296430680255073e-05,-0.0007998965635433366,0.0011556214021140848,0.16734170473899085,-0.021283266796398248,1.3354608250241233e-06,0.00392051190589596,-0.0029106102265527766,-3.907985046680551e-17,0.0001904521612487344,4.462316510822007e-05,-0.00022477979964884756,0.001228778805046442,0.04934092479053408,-0.34429758488879125,1.5098973517313619e-06,0.0030759921772444032,-0.0030640527847398233,-2.3092638912203255e-17,0.00018014925482264747,0.00017873898886785984,-0.00014747286193587229,0.001094713857952879,-0.05200744580214508,-0.06997356271724531,1.198398430794076e-06,0.0031146456461003335,-0.0029879171642657513,-2.1316282072803006e-17,0.0001681877631874466,0.00023671919215231243,0.00023671919215231243,0.0011817082645619423,-0.08199924978845648,0.2445758255704411,1.3964344225339973e-06,0.0045729356075034245,-0.0036403408658721003,-2.842170943040401e-17
noise_2023-02-21T01_07_00.490149Z_WS.POZA.S6.DN1.MSEED,WS.POZA.S6.DN1,0.000355281560271442,0.00037513890140853875,0.0003366318472067747,0.0019824950336297747,0.03713639641521968,-0.15088401443674204,3.930286558366722e-06,0.006861600936553362,-0.004652886757679306,7.105427357601002e-18,-8.57759788113302e-06,6.796095572360344e-05,-0.0004308737730412537,0.0019453498022342173,-0.32560428997504487,-0.08281915000585816,3.7843858530527087e-06,0.004788955083781236,-0.006073108908843967,2.842170943040401e-17,5.466943336453393e-05,0.0002023696087925508,0.0004134995409553005,0.0017793186460769047,-0.1977228292365539,-0.1707226812007523,3.1659748442769493e-06,0.004213252661267854,-0.005458899432129098,1.4210854715202004e-17,0.00031751419290560314,0.00043267986072882084,-0.0004308737730412537,0.0018361805592779902,0.1298352482391068,0.3186459483308606,3.3715590462704326e-06,0.007206993107130335,-0.0051518679010988866,3.552713678800501e-17,0.00016276151638710526,0.0002790908878864926,0.0009508413239219219,0.001717007158066707,-0.12674803655435682,-0.3625844547168149,2.9481135808523103e-06,0.004174892021720813,-0.004614526118132265,1.4210854715202004e-17,6.587776801566419e-05,0.00014482864947212932,0.00029827120766001285,0.0019321680389372785,0.031182729880698878,0.4589942993442109,3.7332733306907286e-06,0.0065545694055231495,-0.005574127765424386,-4.085620730620576e-17
noise_2023-02-21T01_07_00.490149Z_WS.POZA.S6.DN2.MSEED,WS.POZA.S6.DN2,0.00017474109215610844,8.769108503915245e-05,0.000701798757814612,0.0011616596472314616,0.40036524520405825,0.17972209534800365,1.349453136005924e-06,0.0039258643258518995,-0.0024455026362104355,7.105427357601002e-18,-0.00010636668676384075,-0.000257743980456329,-0.0004112711846163166,0.0011267640571757964,0.34204673452542983,-0.2924029813281339,1.2695972405432611e-06,0.0031198470759442104,-0.002637411069478175,0.0,-0.00022120477810600112,-0.00021936275134857786,-0.0005264160158040621,0.0012767020245112658,-0.04187363948091652,-0.1012325281625106,1.629968059391165e-06,0.0036571922905041664,-0.0038272446139890975,-1.2434497875801754e-17,-4.21924423939244e-05,-2.7453746148593015e-05,0.00012607288607914855,0.0011696572158131605,-0.002407358551719785,0.049546819132503916,1.3680980025037943e-06,0.00354204631545193,-0.0033666638594075033,-7.105427357601002e-18,-5.866489932176838e-07,8.769108503915245e-05,-0.0003345075825363233,0.001146945895421322,-0.3236756227273851,0.06521417300513654,1.3154848870238182e-06,0.0030047022447564635,-0.0038656264150290945,-4.263256414560601e-17,1.4612519053602391e-05,1.0928054891403081e-05,-0.000257743980456329,0.0011695931264236873,-0.003731970416579561,-0.2169085684241825,1.3679480813775356e-06,0.003081465846836458,-0.0034050456604474994,0.0
noise_2023-02-21T01_07_00.490149Z_WS.POZA.S6.DNZ.MSEED,WS.POZA.S6.DNZ,9.085259135691678e-05,4.3283055684423176e-05,2.4249150565905214e-05,0.0011006055687528809,0.14338265957012825,0.13333951478812578,1.2113326179698523e-06,0.00432298341429776,-0.0025093100353887642,4.263256414560601e-17,7.501872493263374e-05,0.00010097042965887112,-0.00024456815557226836,0.0012340717192413056,0.10910462919800323,-0.44170835086417704,1.5229330082311917e-06,0.003325021127458041,-0.002892916430858055,0.0,0.00012828320501680567,0.00021575951899110353,0.0013290965537797184,0.0012009210224379885,-0.06538548063684678,-0.23164720983122233,1.4422113021335039e-06,0.0035165314958832392,-0.0032765228263273456,0.0,8.551156940848716e-06,2.4249150565905214e-05,-0.00012919340762225715,0.0011389910935152734,-0.1909252650662928,0.3737132073220888,1.2973007111071185e-06,0.003132925100413949,-0.004197763834072984,0.0,-0.00016418065352342853,-0.00016784687647818713,-0.0002065003453352324,0.0012223818535620952,-0.1264719775946159,-0.46615490311284047,1.4942173959179037e-06,0.003056203821319867,-0.0030463589890462176,-8.881784197001253e-18,4.494632616230981e-05,8.164369523090613e-05,-0.0007822027678486154,0.001166143460543274,0.011426295493548396,-0.3225015337969883,1.3598905705678424e-06,0.0036319062438332507,-0.003008291178808066,0.0
noise_2023-02-21T01_07_00.491238Z_WS.POZA.S3.DN1.MSEED,WS.POZA.S3.DN1,-7.662037218810158e-05,-0.0001816169565797489,-0.0009492689914825705,0.0017464928047554852,-0.049598522406512364,-0.35411007986671805,3.0502371170626816e-06,0.004347427559088446,-0.005478313507150765,-2.1316282072803006e-17,-4.8984606102293094e-05,-0.0001624366368062983,0.0003173275831760812,0.0018149474298099913,0.06084003793447629,-0.1724335813140292,3.2940341729738935e-06,0.005115042990327586,-0.005286400498425077,-1.0658141036401503e-17,-0.00010364134313857999,1.0259448482258193e-05,8.705393490349203e-05,0.0018600518092261747,-0.1818478747519906,0.04810683571466168,3.459792733005566e-06,0.005115042990327586,-0.005286400498425077,-3.552713678800501e-18,0.00018406857797628658,6.785531329816614e-05,-0.00033516932575853567,0.0018388647253210512,0.1577363329908454,-0.18990683187806745,3.3814234780300648e-06,0.005498869007778962,-0.0046339035894903905,2.842170943040401e-17,0.00016288208460331032,0.00016381181766104497,-0.0011027847569976066,0.0018075557911751492,-0.04792872083751279,0.4707979628729815,3.2672579382108194e-06,0.006036210790745443,-0.005286400498425077,-1.4210854715202004e-17,6.094058839786444e-05,8.705393490349203e-05,-0.0017552816659322933,0.0016862889793780773,-0.03692283501990347,-0.43043753067071,2.8435705219719575e-06,0.004385788198635347,-0.004326872058460249,-2.4868995751603507e-17
noise_2023-02-21T01_07_00.491238Z_WS.POZA.S3.DN2.MSEED,WS.POZA.S3.DN2,-0.00021110359822643413,-0.00022353339713489736,-0.0006841172973438264,0.0011969306843781003,-0.003536108143982536,-0.4035317911045988,1.4326430632058276e-06,0.0026167095850444582,-0.0037162732882489048,0.0,0.00017593666014089653,0.000160274318484673,-0.0008376513646907726,0.0012137231201013977,0.05821756389205053,-0.3866659811831368,1.4731238122686716e-06,0.0033843433181154044,-0.0027567265464522356,7.105427357601002e-18,0.00013126137615618658,0.0001794637891740612,0.0005824792773148254,0.0011030464307691416,0.12833119154317943,0.13755294658619954,1.2167114284325425e-06,0.0031924303093897165,-0.0030253974379354765,-3.552713678800501e-17,-7.400442946157673e-05,-7.001763161982631e-05,0.0007359950428299314,0.0011764789654017526,0.26217506749100705,0.15853061386381428,1.384102756032778e-06,0.003921685101081922,-0.003255689388039941,-7.105427357601002e-18,2.8551569049892227e-05,-1.2440068635741372e-05,0.0008511501687980664,0.0011696174807729269,0.1990502296767369,-0.5502264245523469,1.3680050513296081e-06,0.003307585435357886,-0.002679968663694682,2.842170943040401e-17,1.1510220967806573e-05,4.5137494348343556e-05,-0.0006073594145863081,0.0012116504768536064,0.06290184961072094,-0.2300824049607617,1.4680968780595717e-06,0.003576256326841127,-0.0028718816724204056,-3.552713678800501e-18
noise_2023-02-21T01_07_00.491238Z_WS.POZA.S3.DNZ.MSEED,WS.POZA.S3.DNZ,-6.735298035672573e-05,-0.00010740031672648458,-0.0004910067121957752,0.0011187069280956174,0.11938107760471468,-0.08629312930406385,1.251505190969133e-06,0.002963207822884523,-0.0030239802395304357,0.0,-0.0001587086970230328,-0.00010740031672648458,-0.0011820838826591695,0.0011986751683726548,-0.0005258636730454232,-0.15337394444848007,1.4368221592732121e-06,0.0033473998769727076,-0.00336951882476269,-4.662936703425657e-17,-4.186745989069976e-05,-1.1059473894991357e-05,8.46957103176078e-05,0.0011744453165310014,-0.033130298012433224,0.15397082656550864,1.3793218015216042e-06,0.003538910245397906,-0.003638336130900864,0.0,1.9062120199453545e-05,-1.1059473894991357e-05,-0.0007978918285709847,0.0010963870751023324,0.12928612014240554,-0.2329403900866338,1.2020646184514477e-06,0.002809765264697476,-0.0028324698711063526,1.4210854715202004e-17,-5.32938996621958e-06,-6.874684787055458e-05,0.0006603981328309909,0.0012378153982267363,-0.08466863740242683,-0.2398251400457485,1.5321869600872137e-06,0.002579601427415232,-0.003715057409994945,-1.4210854715202004e-17,-6.719602384682199e-05,-0.00012643422184500255,-0.0007978918285709847,0.0012230151185916491,0.3029105981682961,0.4556112264041241,1.4957659803037456e-06,0.004959132396562846,-0.00294725896043747,-1.4210854715202004e-17
noise_2023-02-21T01_07_00.492647Z_WS.POZA.S2.DN1.MSEED,WS.POZA.S2.DN1,2.8912773554837374e-06,7.166516898904967e-05,0.00016763997518366437,0.0017410835435408753,-0.04187068438199593,-0.18979445918613758,3.0313719055888513e-06,0.004619890004430625,-0.005129056575387352,2.1316282072803006e-17,1.90115308444796e-05,-0.00019700572249426097,-0.00021618604226771157,0.0017753571369962056,0.25971509517614166,-0.15843761165628933,3.1518929638833637e-06,0.005042076661429041,-0.004323043900937559,-1.4210854715202004e-17,-3.165467477633759e-05,9.084548876250027e-05,0.00131904482021057,0.0018407048945195234,0.1293138469740905,0.08891737355291518,3.38819450870813e-06,0.0056945735703635885,-0.005781553484321899,7.105427357601002e-18,-2.4128961521712623e-05,-4.3489956979155056e-05,-0.002787739831131916,0.001917912187676071,0.12067599997003677,-0.23385052982480614,3.678387159636412e-06,0.006078399587815104,-0.004860385683904041,1.4210854715202004e-17,0.0001832855523619674,0.0002827951011518691,-0.0002929805286888757,0.0018208941451967177,-0.1208707636538899,-0.2638721275789626,3.315655488011685e-06,0.0054643365257546804,-0.00436140454048446,1.0658141036401503e-17,6.030954119519169e-05,5.2484849215599074e-05,5.2484849215599074e-05,0.0017748388458603203,-0.3378858158974599,0.07060592666933108,3.150052928774794e-06,0.004197703347432348,-0.005512882592838728,0.0
