File,Trace ID,P-Pick Time,S1 Mean,S1 Median,S1 Mode,S1 Std Dev,S1 Skewness,S1 Kurtosis,S1 Variance,S1 Max,S1 Min,S1 Z-Score,S2 Mean,S2 Median,S2 Mode,S2 Std Dev,S2 Skewness,S2 Kurtosis,S2 Variance,S2 Max,S2 Min,S2 Z-Score,S3 Mean,S3 Median,S3 Mode,S3 Std Dev,S3 Skewness,S3 Kurtosis,S3 Variance,S3 Max,S3 Min,S3 Z-Score
34161341_2023-02-21T00.07.00.489723Z_WS.POZA.S5.DNZ.MSEED,WS.POZA.S5.DNZ,2023-02-21T00:07:22.443000Z,-7.79666718208222e-05,-0.0001018146907883579,-0.0001018146907883579,0.0011798796567957578,-0.2443397691954191,0.482301827832885,1.3921160045204753e-06,0.0026999761426855914,-0.004131145989763145,-1.7763568394002505e-17,0.000433601446639144,0.012430108439366438,-0.040786347638053375,0.0868698537774855,-0.6828455708584724,0.4938668225980516,0.007546371495321713,0.16996759169137865,-0.3137571447022656,-7.105427357601002e-18,-0.0005311797654798071,0.003198957286104893,-0.055218147328363894,0.07256379535655033,-0.13938396101425718,-0.412399752933045,0.005265504396547316,0.16110189151639678,-0.19665470382580988,0.0
34161341_2023-02-21T00.07.00.490024Z_WS.POZA.S3.DNZ.MSEED,WS.POZA.S3.DNZ,2023-02-21T00:07:22.444000Z,4.7646716744445575e-06,8.548951308805726e-05,-0.00020236169816919186,0.0010930607713032293,-0.17183145533750235,-0.2747128714329956,1.1947818497620106e-06,0.002638082604160687,-0.003272969837780199,-3.552713678800501e-18,0.0008525031800961057,0.0063417877109511935,-8.698695021806543e-05,0.15840379507503102,-0.20641116309582988,0.17770118771528054,0.025091762294172423,0.3740961613387385,-0.46742323820734943,3.552713678800501e-18,-0.006469339966608592,-0.015075162328613998,-0.13645759639299362,0.1575984313969571,0.14361733437933816,1.214805287539277,0.024837265578781388,0.546660473438001,-0.5037323156117886,-1.7763568394002505e-17
34161341_2023-02-21T00.07.00.490032Z_WS.POZA.S2.DNZ.MSEED,WS.POZA.S2.DNZ,2023-02-21T00:07:22.442000Z,2.7043083468462694e-05,0.00012671749516007935,0.00035629567382231356,0.0011600178991481027,-0.00013472266439871675,-0.29155290788358723,1.3456415263439777e-06,0.003542278561383332,-0.002828515896500917,3.552713678800501e-17,0.0014274043795445147,0.014001555838766281,-0.014611967311526761,0.09331820095088884,-0.5124187564506503,0.04890659040659484,0.008708286628710472,0.18965521715344988,-0.30036417807760346,-1.3322676295501878e-17,-0.0015842021681503925,-0.00722388383237427,-0.1542446952623374,0.084623318912017,0.2071368313570683,1.092603215539774,0.007161106103684935,0.2754389777182829,-0.281556922844467,-2.842170943040401e-17
34161341_2023-02-21T00.07.00.490708Z_WS.POZA.S4.DNZ.MSEED,WS.POZA.S4.DNZ,2023-02-21T00:07:22.444000Z,9.016675309691544e-05,8.939368371955596e-05,-0.0009653774891657122,0.0012194890437360341,0.19244235636291554,-0.08245659441875164,1.4871535277922272e-06,0.004215358654835841,-0.0026930704153247556,0.0,0.00014360458813233445,0.007228572249781289,-0.009333267837967186,0.11495964281498952,-0.5708955898004255,1.0727243774836719,0.013215719476149971,0.3056269095767261,-0.3741898026187585,-1.7763568394002505e-17,-0.0010464021877924523,0.0033714245848031786,0.021372813558145118,0.14712895421760572,-0.04358351436492693,0.8931099118774033,0.021646929169166315,0.41405574630524405,-0.4534481548502791,-1.7763568394002505e-17
34161341_2023-02-21T00.07.00.493150Z_WS.POZA.S6.DNZ.MSEED,WS.POZA.S6.DNZ,2023-02-21T00:07:22.441000Z,0.00013501237662886476,0.00017404769490449214,0.0003280759117115486,0.0012863031580320657,-0.2123239027174251,0.28438104252245866,1.6545758143632653e-06,0.003782290446791847,-0.004738456801577782,-5.3290705182007515e-18,0.0007472341279909589,0.009558641406354757,-0.0219333938565052,0.09149911992160466,-0.5440405551492642,0.30026743349151586,0.008372088946428189,0.202752778361198,-0.29521166169571267,-1.7763568394002505e-17,-0.002587356120199489,-0.007521506559242103,-0.07735661161045705,0.06957676642877991,0.25192041930612213,-0.1607284166628471,0.004840926426684996,0.18463718595714498,-0.19096677014159544,-1.0658141036401503e-17
34161511_2023-02-21T00.12.34.318024Z_WS.POZA.S3.DNZ.MSEED,WS.POZA.S3.DNZ,2023-02-21T00:12:56.435000Z,2.3496376945715777e-05,6.645560796898166e-05,-0.0005859680936373673,0.0012331380504971255,-0.12022830205174379,-0.24047089370274133,1.5206294515838514e-06,0.0032905063057681516,-0.003503133675061328,-2.1316282072803006e-17,-2.4752522725007227e-05,-1.0265671123984249e-05,0.0012559282632338988,0.0019878609218279366,-0.03495017451749197,-0.22794067505450855,3.951591044530614e-06,0.0052097096003523935,-0.005767875554877824,-1.0658141036401503e-17,-0.00010363839607484657,-2.9592405552506878e-05,-0.0006246215624944125,0.0015868815689179942,-0.20141517005720702,0.1633472923541759,2.5181931137716345e-06,0.004365189871700836,-0.004731259799182175,4.263256414560601e-17
34161791_2023-02-21T00.40.23.069600Z_WS.POZA.S5.DNZ.MSEED,WS.POZA.S5.DNZ,2023-02-21T00:40:44.543000Z,7.700283296451346e-05,8.307419585540857e-06,-0.00027983662098059767,0.001147726086765446,0.20489587668969056,-0.053492705134638996,1.317275170241924e-06,0.0032130313829567456,-0.0026587819315082016,8.881784197001253e-18,-0.0001707167070812494,-0.00031731877259873957,-0.0008936068537310167,0.0014731031810596125,-0.10590780829736966,0.7480854436574846,2.1700329820479497e-06,0.0038279729329460683,-0.005806111350213291,2.4868995751603507e-17,3.6643180541948704e-06,2.7048495394611793e-05,-0.00047193264802469,0.0013432164757104412,-0.21733075536779306,0.2043619066122857,1.8042305006199783e-06,0.004134858049321278,-0.004155725361767222,-2.842170943040401e-17
34161791_2023-02-21T00.40.23.070024Z_WS.POZA.S3.DNZ.MSEED,WS.POZA.S3.DNZ,2023-02-21T00:40:44.543000Z,0.0001269494580469053,8.548951308805726e-05,-0.00012564041907511068,0.0012461978034523915,0.09152526225365658,0.2690945396733806,1.5530089653295657e-06,0.0036741127012374425,-0.0034650658648242914,1.0658141036401503e-17,5.478928827814956e-05,2.7802139113051684e-05,0.00014317688706306286,0.0017732307445343348,0.07745946864860327,0.45890724954678763,3.1443472733617915e-06,0.004902238825358289,-0.0050387305741762785,-2.1316282072803006e-17,0.00014737723067896662,2.7802139113051684e-05,-0.0015072091013830049,0.0021378959872926937,0.0955898583502527,0.45905703059946346,4.570599252482202e-06,0.006053643670385055,-0.0068806269310475445,-7.105427357601002e-18
34161791_2023-02-21T00.40.23.070032Z_WS.POZA.S2.DNZ.MSEED,WS.POZA.S2.DNZ,2023-02-21T00:40:44.556000Z,7.09789353851284e-06,1.0757088590058858e-05,-0.0008712447916796396,0.001109565862056922,0.03992601716114502,-0.29036357722885553,1.2311364022421206e-06,0.002889854859775868,-0.003097918861257985,-2.842170943040401e-17,-9.128806919073388e-05,-0.00010403200074105825,-0.00041091711711626776,0.001482282479230141,0.021897484660505815,0.5281807311573674,2.197161348232653e-06,0.004693683406410098,-0.0049017474078922145,0.0,4.244356251467046e-05,3.0083823018581485e-05,-0.00014268546959698826,0.0015553914897453052,-0.014731736564231457,0.4916848522208608,2.41924268637212e-06,0.004770990344123074,-0.004977883028367401,-1.4210854715202004e-17
34161791_2023-02-21T00.40.23.070708Z_WS.POZA.S4.DNZ.MSEED,WS.POZA.S4.DNZ,2023-02-21T00:40:44.543000Z,0.00011215003502107168,5.132587348196239e-05,-0.0008119349309786651,0.0013482601318538462,-0.148638126815524,-0.3732257881637966,1.8178053831465506e-06,0.003525452801610235,-0.0038831287292085664,-2.1316282072803006e-17,0.00013696790466137995,0.00014737388700400856,0.0006850084992803556,0.0016327452260650446,-0.28550288994144446,2.3696079904752354,2.6658569732381936e-06,0.006556821813745303,-0.007529439291332957,-7.105427357601002e-18,0.00010077888727383195,0.00024283624190771832,0.00045425900338033333,0.0021442181309530386,-0.0674767580339513,0.874204403299951,4.597671393107742e-06,0.007401341542396859,-0.006415516597924333,7.105427357601002e-18
