Before Mean,Before Median,Before Mode,Before Std Dev,Before Skewness,Before Kurtosis,Before Variance,Before Max,Before Min,Before Z-Score,Before Mean MER,Before Max MER,After Mean,After Median,After Mode,After Std Dev,After Skewness,After Kurtosis,After Variance,After Max,After Min,After Z-Score,After Mean MER,After Max MER,earthquake
2.09e-05,1.29e-05,-0.00090837,0.001216369,0.061903785,0.063870621,1.48e-06,0.004426394,-0.003287901,-2.84e-17,7.34e-05,9.86e-05,9.86e-06,-0.00048611,-0.016990556,0.021428235,0.477778773,1.629784484,0.000459169,0.087100893,-0.054911366,-3.55e-18,0.291263541,0.903123801,1
4.6e-06,2.77e-05,0.000297118,0.001094621,0.194305896,0.283904746,1.2e-06,0.003291005,-0.003042308,-3.2e-17,7.34e-05,9.86e-05,0.000208079,0.000584676,-0.007302388,0.008723999,0.070065595,-0.335733701,7.61e-05,0.022672791,-0.020122456,-7.11e-18,0.291263541,0.903123801,1
2.58e-05,-2.25e-05,-0.000905697,0.001184594,0.011072738,-0.441663851,1.4e-06,0.003316901,-0.003323296,-7.11e-18,7.34e-05,9.86e-05,0.000250978,-0.001615516,0.002894056,0.020638233,0.921697202,2.404022135,0.000425937,0.079542713,-0.045850311,1.78e-17,0.291263541,0.903123801,1
-1.33e-05,4.41e-05,-0.001184628,0.00121215,-0.439006519,0.585083123,1.47e-06,0.003344856,-0.003832976,1.07e-17,7.35e-05,9.88e-05,-4.83e-05,0.000350969,-0.006519978,0.012006892,0.105121485,0.350940455,0.000144165,0.036814075,-0.033962769,-2.13e-17,0.283329273,0.891450905,1
-8.96e-06,-4.23e-05,-0.00115506,0.001156394,-0.020612275,-0.133166222,1.34e-06,0.003220396,-0.003189638,1.42e-17,7.35e-05,9.86e-05,7.39e-05,-2.3e-05,0.000149788,0.008329169,0.009182214,0.264914594,6.94e-05,0.0225647,-0.023800136,-1.78e-17,0.289286809,0.903123801,1
-9.82e-05,-0.000194299,-0.000961512,0.001214006,0.116742414,0.589161443,1.47e-06,0.003836204,-0.004377073,2.13e-17,7.53e-05,0.000101973,3.61e-05,0.000112586,-0.001192261,0.007873752,0.208115703,0.892727636,6.2e-05,0.023679489,-0.018808872,-1.78e-17,0.258276124,0.720628991,1
7.25e-05,-4.61e-05,-0.000621184,0.001212289,-0.101312154,0.121295655,1.47e-06,0.003216051,-0.003768514,2.49e-17,7.5e-05,0.000101973,-4.33e-05,-6.54e-05,-0.00019951,0.002673405,0.314276607,1.542571507,7.15e-06,0.009434574,-0.007684227,-1.78e-17,0.261470324,0.7244888,1
8.39e-05,0.000105425,-6.71e-05,0.001241401,0.053783354,-0.250907965,1.54e-06,0.003579259,-0.002792121,0.0,7.38e-05,0.000101501,-3.08e-05,-4.8e-05,-0.002907496,0.002633898,0.080229357,1.46794737,6.94e-06,0.009643169,-0.008587799,-1.42e-17,0.275561145,0.754417393,1
-0.000206626,-0.000183661,-3.02e-05,0.001169626,0.207581699,-0.174196992,1.37e-06,0.0029256,-0.003024106,7.11e-18,7.39e-05,0.000101501,3.85e-06,0.000238599,-0.002064211,0.007236183,-0.275089177,1.592647748,5.24e-05,0.020427423,-0.025976067,-1.42e-17,0.274186445,0.744198826,1
7.26e-05,0.000135228,0.00111445,0.001256201,0.172206633,0.072218601,1.58e-06,0.004261779,-0.003222938,3.55e-17,7.42e-05,0.000101504,0.000117879,9.72e-05,-0.000229051,0.003704697,-0.010409447,3.21184483,1.37e-05,0.014432327,-0.014276659,-1.15e-17,0.271577566,0.744198826,1
